time,x,y,radius,v_x,v_y,a_x,a_y,total_energy
0,149600000000.0,0.0,149600000000.0,0.0,29800.0,-0.005927853062712689,-0.0,-442786818.18181825
43200.0,149594468601.75012,1287360000.0,149600007794.14954,-256.08325230918814,29800.0,-0.005927632956304689,-5.1011228115282926e-05,-442753982.6631908
86400.0,149577874612.38617,2574672400.402821,149600031789.8633,-512.1569960215506,29797.79631494542,-0.005926972572740802,-0.0001020205210197351,-442721144.7284454
129600.0,149550218853.511,3861842003.819889,149600072803.44318,-768.2022111639533,29793.389028437367,-0.005925871848849499,-0.00015302405433158985,-442688304.39539015
172800.0,149511502968.4491,5148773620.042805,149600131649.92538,-1024.1998750342516,29786.77838929024,-0.005924330755127899,-0.00020401800064071153,-442655461.6827375
216000.0,149461729422.3334,6435372073.183385,149600209143.0193,-1280.130963655777,29777.96481166256,-0.005922349295824067,-0.00025499852981286663,-442622616.6101021
259200.0,149400901502.12854,7721542208.819069,149600306095.04544,-1535.9764532353765,29766.948875174647,-0.00591992750901649,-0.00030596180929583417,-442589769.19800097
302400.0,149329023316.59158,9007188901.143124,149600423316.87442,-1791.7173216248889,29753.73132501307,-0.005917065466690585,-0.0003569040044273235,-442556919.4678511
345600.0,149246099796.16913,10292217060.119078,149600561617.8652,-2047.3345497859223,29738.313072021807,-0.0059137632748123125,-0.0004078212787446742,-442524067.441969
388800.0,149152136692.8314,11576531638.638798,149600721805.80368,-2302.809123257814,29720.695192780036,-0.005910021073398814,-0.0004587097942963073,-442491213.1435699
432000.0,149047140579.84265,12860037639.683641,149600904686.84158,-2558.122033628643,29700.878929666436,-0.005905839036585976,-0.0005095657119548935,-442458356.5967645
475200.0,148931118851.46808,14142640123.488092,149601111065.43497,-2813.254280009157,29678.865690909985,-0.005901217372693011,-0.0005603851917322145,-442425497.8265599
518400.0,148804079722.61688,15424244214.705294,149601341744.2831,-3068.186870509495,29654.657050627153,-0.005896156324283915,-0.0006111643930956791,-442392636.8588563
561600.0,148666032228.42157,16704755109.573902,149601597524.2675,-3322.90082371856,29628.25474884542,-0.005890656168225787,-0.0006618994752864637,-442359773.72044563
604800.0,148516986223.7532,17984078083.085648,149601879204.3904,-3577.3771701859137,29599.660691513043,-0.005884717215744047,-0.0007125865976392476,-442326908.43901134
648000.0,148356952382.6728,19262118496.153023,149602187581.71448,-3831.5969539060566,29568.87695049503,-0.005878339812474378,-0.0007632219199034984,-442294041.04312474
691200.0,148185942197.8182,20538781802.77651,149602523451.3014,-4085.5412338049496,29535.905763555198,-0.005871524338511527,-0.0008138016025662891,-442261171.56224394
734400.0,148003967979.72708,21813973557.210705,149602887606.1514,-4339.191085228647,29500.749534324335,-0.005864271208454761,-0.0008643218071765924,-442228300.02671206
777600.0,147811042856.09518,23087599421.128803,149603280837.14246,-4592.527601433893,29463.410832254307,-0.005856580871450102,-0.0009147786966710361,-442195426.46775544
820800.0,147607180770.97046,24359565170.784748,149603703932.96973,-4845.531895080538,29423.89239255812,-0.005848453811229185,-0.0009651684357010643,-442162550.9174808
864000.0,147392396483.88263,25629776704.172535,149604157680.08524,-5098.185099725639,29382.197116135834,-0.005839890546144759,-0.0010154871909614778,-442129673.4088739
907200.0,147166705568.90808,26898140048.181973,149604642862.63742,-5350.4683713190925,29338.3280694863,-0.005830891629202822,-0.0010657311315203151,-442096793.9757966
950400.0,146930124413.67004,28164561365.750336,149605160262.41098,-5602.362889700655,29292.28848460462,-0.005821457648091296,-0.0011158964291500292,-442063912.65298516
993600.0,146682670218.27438,29428946963.00929,149605710658.7668,-5853.849860098198,29244.08175886534,-0.00581158922520527,-0.0011659792586599272,-442031029.4760473
1036800.0,146424360994.18033,30691203296.42643,149606294828.58203,-6104.910514627066,29193.711454891232,-0.005801287017668744,-0.0012159757982298273,-441998144.48146015
1080000.0,146155215563.0065,31951236979.940887,149606913546.19025,-6355.526113790355,29141.181300407705,-0.005790551717352851,-0.0012658822297448961,-441965257.7065672
1123200.0,145875253555.27225,33208954792.09228,149607567583.3218,-6605.677947979999,29086.495188082725,-0.005779384050890548,-0.0013156947391316236,-441932369.1895767
1166400.0,145584495409.07394,34464263683.14247,149608257709.0444,-6855.34733897847,29029.65717535224,-0.005767784779687713,-0.0013654095166948902,-441899478.96955764
1209600.0,145282962368.69644,35717070782.189476,149608984689.7037,-7104.515641460979,28970.67148423102,-0.005755754699930631,-0.0014150227574560893,-441866587.08643734
1252800.0,144970676483.15973,36967283404.27282,149609749288.86417,-7353.1642444979825,28909.542501108917,-0.005743294642589872,-0.0014645306614922548,-441833693.58099926
1296000.0,144647660604.70053,38214809057.46987,149610552267.2499,-7601.274573057865,28846.274776532453,-0.005730405473420499,-0.0015139294342761624,-441800798.49487936
1339200.0,144313938387.1891,39459555449.98236,149611394382.68613,-7848.828089509631,28780.873024971723,-0.00571708809295855,-0.0015632152870173352,-441767901.87056315
1382400.0,143969534284.48096,40701430497.21252,149612276390.04013,-8095.806295125441,28713.342124572573,-0.005703343436513872,-0.001612384437003942,-441735003.75138324
1425600.0,143614473548.70404,41940342328.82819,149613199041.16318,-8342.19073158284,28643.687116894,-0.005689172474159149,-0.001661433107945507,-441702104.1815147
1468800.0,143248782228.4806,43176199295.81633,149614163084.832,-8587.962982466515,28571.913206630754,-0.005674576210715205,-0.001710357530316414,-441669203.20597255
1512000.0,142872487167.0843,44408909977.52409,149615169266.69067,-8833.104674769413,28498.025761321085,-0.005659555685732516,-0.0017591539417001467,-441636300.8706095
1555200.0,142485616000.53278,45638383188.68708,149616218329.1929,-9077.597480393057,28422.030311039638,-0.005644111973468882,-0.0018078185871342027,-441603397.22211075
1598400.0,142088197155.6151,46864527986.44397,149617311011.5442,-9321.423117646913,28343.93254807544,-0.005628246182863283,-0.0018563477194556632,-441570492.3079914
1641600.0,141680259847.8546,48087253677.33685,149618448049.64444,-9564.563352746607,28263.738326594957,-0.00561195945750587,-0.0019047375996473432,-441537586.17659235
1684800.0,141261834079.40698,49306469824.29677,149619630176.0307,-9807.00000131086,28181.45366229019,-0.005595252975604075,-0.0019529844971844866,-441504678.8770771
1728000.0,140832950636.89374,50522086253.61369,149620858119.82007,-10048.714929856957,28097.08473201182,-0.005578127949944823,-0.002001084690381955,-441471770.45942837
1771200.0,140393641089.17126,51734013061.89032,149622132606.65308,-10289.690057294572,28010.637873387317,-0.005560585627852796,-0.0020490344667418456,-441438860.97444224
1814400.0,139943937785.03506,52942160622.97905,149623454358.63684,-10529.907356417812,27922.11958442407,-0.005542627291144808,-0.002096830123301523,-441405950.47372687
1857600.0,139483873850.85992,54146439594.90151,149624824094.289,-10769.348855395268,27831.536523097442,-0.0055242542560801616,-0.002144467966981962,-441373039.0096964
1900800.0,139013483188.1754,55346760926.74998,149626242528.4814,-11007.996639257932,27738.89550692382,-0.005505467873307063,-0.002191944314936405,-441340126.6355688
1944000.0,138532800471.17752,56543035865.56993,149627710372.3846,-11245.832851384797,27644.20351251857,-0.005486269527805006,-0.0022392554948992226,-441307213.4053591
1987200.0,138041861144.17593,57735175963.22333,149629228333.4119,-11482.839694985974,27547.467675138923,-0.0054666606388232035,-0.0022863978455349926,-441274299.3738776
2030400.0,137540701418.97723,58923093083.231705,149630797115.1642,-11718.999434583136,27448.695288211813,-0.0054466426598149134,-0.0023333677167876794,-441241384.5967246
2073600.0,137029358272.20451,60106699407.59857,149632417417.37515,-11954.294397487141,27347.893802846585,-0.005426217078367776,-0.0023801614702298976,-441208469.13028556
2116800.0,136507869442.5529,61285907443.61044,149634089935.85605,-12188.70697527263,27245.070827332653,-0.005405385416130076,-0.0024267754794122017,-441175553.0317272
