time,x,y,v_x,v_y,total_energy
0,149600000000.0,0.0,0.0,29800.0,-442786818.18181825
43200.0,149594468601.75012,1287360000.0,-256.0690310164563,29798.89827967966,-442786816.963577
86400.0,149577875226.74603,2574624806.0849824,-512.1190459088962,29795.593038293973,-442786815.7400704
129600.0,149550221107.27026,3861699229.7100964,-768.1310286000753,29790.08452341301,-442786814.5113005
172800.0,149511508297.05295,5148488096.590864,-1024.0859659098821,29782.37314765003,-442786813.27726954
216000.0,149461739671.11542,6434896253.832489,-1279.9648490039006,29772.459488629014,-442786812.03797996
259200.0,149400918925.5511,7720828577.057472,-1535.7486748416097,29760.3442889392,-442786810.7934347
302400.0,149329050577.24393,9006189977.53099,-1791.418447624098,29746.028456076627,-442786809.5436369
345600.0,149246139963.52438,10290885409.283474,-2046.955180241173,29729.513062372705,-442786808.2885908
388800.0,149152193241.76276,11574819876.2298,-2302.3398957177415,29710.799344909814,-442786807.02830046
432000.0,149047217388.90012,12857898439.284576,-2557.553628659345,29689.888705423924,-442786805.7627701
475200.0,148931220200.9168,14140026223.472939,-2812.577426696723,29666.782710194275,-442786804.4920049
518400.0,148804210292.23862,15421108425.03629,-3067.3923519292875,29641.483089920086,-442786803.21600986
561600.0,148666197095.08044,16701050318.532438,-3321.9794823673897,29613.991739584355,-442786801.93479127
604800.0,148517190858.7279,17979757263.929585,-3576.31991337325,29584.310718304725,-442786800.6483551
648000.0,148357202648.75662,19257134713.693573,-3830.394759100443,29552.44224917143,-442786799.35670793
691200.0,148186244346.18933,20533088219.86786,-4084.185153931805,29518.388719072358,-442786798.05985665
734400.0,148004328646.59094,21807523441.145664,-4337.6722539156535,29482.152678505256,-442786796.7578084
777600.0,147811469059.10153,23080346149.933716,-4590.837238200194,29443.736841377024,-442786795.4505713
820800.0,147607679905.40756,24351462239.407055,-4843.6613104659955,29403.144084790216,-442786794.1381532
864000.0,147392976318.65112,25620777730.554333,-5096.125700356412,29360.3774488167,-442786792.8205627
907200.0,147167374242.2774,26888198779.213066,-5348.211664905842,29315.44013625852,-442786791.4978088
950400.0,146930890428.82068,28153631683.09426,-5599.900489965686,29268.335512395966,-442786790.16990083
993600.0,146683542438.62854,29416982888.795914,-5851.173491627911,29219.067104722923,-442786788.8368487
1036800.0,146425348638.52487,30678158998.804768,-6102.012017646079,29167.63860266945,-442786787.4986615
1080000.0,146156328200.4113,31937066778.485836,-6352.397448853729,29114.053857311683,-442786786.1553512
1123200.0,145876501099.8076,33193613163.059097,-6602.311200580006,29058.316881069048,-442786784.80692756
1166400.0,145585888114.3309,34447705264.56287,-6851.7347240624,29000.431847388823,-442786783.45340234
1209600.0,145284510822.11404,35699250378.80323,-7100.649507856496,28940.403090418095,-442786782.09478706
1252800.0,144972391600.1629,36948155992.28906,-7349.0370792426,28878.235104663097,-442786780.7310935
1296000.0,144649553622.65317,38194329789.152054,-7596.8790056291455,28813.93254463603,-442786779.3623349
1339200.0,144316020859.16656,39437679658.051186,-7844.156895952739,28747.500224489322,-442786777.9885233
1382400.0,143971818072.86664,40678113699.06118,-8090.852402074757,28678.943117637406,-442786776.60967207
1425600.0,143616970818.61423,41915540230.54428,-8336.94722017435,28608.266356366046,-442786775.2257951
1468800.0,143251505441.02286,43149867796.00495,-8582.423092137762,28535.475231429256,-442786773.8369057
1512000.0,142875449072.45435,44381005170.92684,-8827.261806943838,28460.575191633805,-442786772.44301915
1555200.0,142488829630.9544,45608861369.591576,-9071.445202045608,28383.571843411395,-442786771.0441491
1598400.0,142091675818.12878,46833345651.87875,-9314.955164747837,28304.47095037854,-442786769.64031136
1641600.0,141684017116.96,48054367530.04672,-9557.773633580417,28223.27843288417,-442786768.23152137
1684800.0,141265883789.5647,49271836775.49348,-9799.882599667506,28140.000367545017,-442786766.8177946
1728000.0,140837306874.8922,50485663425.4973,-10041.264108092282,28054.642986768813,-442786765.3991478
1771200.0,140398318186.36392,51695757789.93648,-10281.900259257214,27967.212678265372,-442786763.97559714
