time,x,y,v_x,v_y
0,149600000000.0,0.0,0.0,29800.0
43200.0,149551141679.6831,5149261523.63382,-1024.1942552882015,29790.268549145265
86400.0,149325363631.9426,10295161281.549332,-2046.902282678582,29745.32323289116
129600.0,148922980599.81525,15431618327.253893,-3066.910021468147,29665.2553037709
172800.0,148344517000.33087,20552569503.440845,-4083.0060966303504,29550.198404487794
216000.0,147590706386.95514,25651976772.77135,-5093.98336383172,29400.32867834977
259200.0,146662490643.8022,30723834564.784824,-6098.64048020115,29215.86481727646
302400.0,145561018907.30597,35762177128.016884,-7095.7834979036215,28997.068044601972
345600.0,144287646211.56003,40761085875.93126,-8084.227477320077,28744.242030054458
388800.0,142843931854.1,45714696714.82792,-9062.7981163934,28457.73273447285
432000.0,141231637479.50867,50617207341.47747,-10030.333392468914,28137.928182022075
475200.0,139452724878.86823,55462884497.85554,-10985.685212738466,27785.258157889628
518400.0,137509353503.7671,60246071170.013565,-11927.7210691919,27400.193829688298
561600.0,135403877694.28503,64961193717.82814,-12855.325693790472,26983.247291051044
604800.0,133138843621.12955,69602768922.12228,-13767.402709405504,26534.971026183423
648000.0,130716985942.87408,74165410935.45314,-14662.876271913934,26055.957294435604
691200.0,128141224180.05124,78643838122.71283,-15540.692698712297,25546.837434268047
734400.0,125414658808.67783,83032879777.59695,-16399.822078803627,25008.281086310886
777600.0,122540567076.63087,87327482700.9589,-17239.25985952923,24440.995335555537
820800.0,119522398547.1475,91522717627.0917,-18058.02840496075,23845.723773065187
864000.0,116363770374.5848,95613785484.06316,-18855.178520938363,23223.24547794739
907200.0,113068462318.44267,99596023474.37453,-19629.79094173962,22574.373920694205
950400.0,109640411502.51814,103464910962.4232,-20380.977773390776,21899.955789360967
993600.0,106083706926.91875,107216075155.51987,-21107.883888689346,21200.86974042114
1036800.0,102402583741.5117,110845296565.5466,-21809.688269093185,20478.02507649967
1080000.0,98601417290.21648,114348514238.7398,-22485.6052887478,19732.360353547643
1123200.0,94684716936.35938,117721830741.54163,-23134.885936069633,18964.841920374653
1166400.0,90657119680.09201,120961516890.98405,-23756.818968478285,18176.462393799087
1209600.0,86523383579.6279,124064016218.64926,-24350.731996074486,17368.23907300823
1252800.0,82288380988.76675,127025949157.8854,-24915.9924902919,16541.212297036727
1296000.0,77957091623.8503,129844116944.64714,-25452.008713808544,15696.443749571428
1339200.0,73534595473.9219,132515505223.07079,-25958.23056828608,14835.014715570203
1382400.0,69026065568.44125,135037287347.68181,-26434.15035681126,13958.024294439841
1425600.0,64436760617.42964,137406827374.96375,-26879.30345824038,13066.587574751722
1468800.0,59772017539.38882,139621682737.8881,-27293.268910994168,12161.83377568125
1512000.0,55037243892.74315,141679606597.90942,-27675.669904213144,11244.904360536837
1555200.0,50237910226.89797,143578549869.86523,-28026.174174560892,10316.951127894541
1598400.0,45379542369.28449,145316662916.17822,-28344.494307351615,9379.134285974655
1641600.0,40467713664.9714,146892296907.73785,-28630.38794107614,8432.620515984943
1684800.0,35508037185.56412,148304004849.83038,-28883.65787480465,7478.581030211866
1728000.0,30506157924.183395,149550542272.48596,-29104.15207835154,6518.189630665012
