time,x,y,v_x,v_y,total_energy
0,149600000000.0,0.0,0.0,29800.0,-442786818.18181825
432000.0,149047201996.50766,12857733465.493242,-2557.6653940375145,29689.884383544275,-442786823.18261945
864000.0,147392911089.33655,25620445757.91739,-5096.350841328173,29360.361617934235,-442786828.1908077
1296000.0,144649402893.17563,38193826707.6349,-7597.22070828994,28813.896982246075,-442786833.2057193
1728000.0,140837033042.6599,50484982429.62044,-10041.72680102889,28054.577784942492,-442786838.2266383
2160000.0,135984082513.46434,62403129574.01269,-12411.749096420472,27088.081335241794,-442786843.2528037
2592000.0,130126542873.21053,73860273049.66121,-14689.732923093425,25921.630516356134,-442786848.28341335
3024000.0,123307843240.0866,84771861948.5413,-16858.82146886723,24563.937367129958,-442786853.31763196
3456000.0,115578521202.0186,95057418597.79749,-18902.982541186197,23025.135185298637,-442786858.35459757
3888000.0,106995840400.19669,104641135909.72993,-20807.128567934567,21316.699765473142,-442786863.3934279
4320000.0,97623357903.2794,113452438485.05458,-22557.2288966753,19451.36047684077,-442786868.43322796
4752000.0,87530444888.68515,121426503247.56078,-24140.41352965467,17443.00196842764,-442786873.47309715
5184000.0,76791764501.57085,128504735744.77396,-25545.067518567943,15306.557362759046,-442786878.51213527
5616000.0,65486711077.51224,134635198634.99602,-26760.91533572039,13057.893861243745,-442786883.54945165
6048000.0,53698815189.25517,139772989291.50916,-27779.09463542986,10713.69173617108,-442786888.5841701
6480000.0,41515119209.53573,143880563885.01358,-28592.218919876756,8291.317724626648,-442786893.6154365
6912000.0,29025528269.81378,146928005750.69986,-29194.428725710553,5808.693868887443,-442786898.6424253
7344000.0,16322141638.370863,148893236301.9436,-29581.43105021589,3284.162866126856,-442786903.66434616
7776000.0,3498569640.698826,149762167213.7765,-29750.52683745189,736.3509978963539,-442786908.680449
8208000.0,-9350758698.910704,149528793061.54514,-29700.626444334765,-1815.9702926363434,-442786913.69002837
8640000.0,-22131292102.056076,148195224059.28043,-29432.25310308761,-4354.023119679553,-442786918.69243187
9072000.0,-34749052401.89595,145771658994.327,-28947.534488921552,-6859.161134720591,-442786923.68706113
9504000.0,-47111323730.65009,142276298896.13422,-28250.182589476917,-9313.00576060346,-442786928.6733784
9936000.0,-59127330532.65625,137735202404.57016,-27345.46215483213,-11697.579708627807,-442786933.6509077
10368000.0,-70708899543.88081,132182084213.86118,-26240.14808332716,-13995.436849175445,-442786938.6192403
10800000.0,-81771101047.65633,125658058359.85867,-24942.472168743057,-16189.787553182887,-442786943.5780363
11232000.0,-92232864914.30243,118211328488.76129,-23462.0596983686,-18264.618672837303,-442786948.52702546
11664000.0,-102017567156.44505,109896827593.02882,-21809.85644914009,-20204.807384315543,-442786953.4660103
12096000.0,-111053582979.55905,100775810023.72873,-19998.04668044974,-21996.228172406907,-442786958.3948661
12528000.0,-119274802575.86267,90915398887.0033,-18039.96276757195,-23625.852295731205,-442786963.3135416
12960000.0,-126621106196.62813,80388092205.0781,-15949.987159228534,-25081.839131342535,-442786968.22205913
13392000.0,-133038795340.81425,69271231468.84981,-13743.44737694073,-26353.618858249236,-442786973.12051326
13824000.0,-138480977214.40363,57646436429.40951,-11436.504802878902,-27431.966000335928,-442786978.0090706
14256000.0,-142907899942.83743,45599010169.858795,-9046.038027325849,-28309.063409999537,-442786982.88796777
14688000.0,-146287236356.5628,33217318666.57552,-6589.521547027127,-28978.556334263376,-442786987.7575091
15120000.0,-148594314515.19156,20592149190.878426,-4084.9006220097885,-29435.596265061668,-442786992.61806554
15552000.0,-149812293487.5345,7816052018.070053,-1550.4631112776342,-29676.874334728705,-442786997.4700704
15984000.0,-149932283261.38818,-5017329998.643497,995.2908825389823,-29700.644076495893,-442787002.31401724
16416000.0,-148953408017.10974,-17813939366.61519,3533.780722719929,-29506.733428074756,-442787007.1504555
16848000.0,-146882812361.51624,-30479984741.70996,6046.477461226708,-29096.545914313054,-442787011.97998786
17280000.0,-143735610482.358,-42922619887.67098,8515.035732223892,-28473.05100261817,-442787016.8032642
17712000.0,-139534778547.44788,-55050616138.55594,10921.424474844898,-27640.76368252896,-442787021.6209801
18144000.0,-134310991035.39072,-66775023730.58348,13248.055647218396,-26605.71337866825,-442787026.4338687
18576000.0,-128102402045.63121,-78009817429.47134,15477.910099947236,-25375.402364492336,-442787031.2426983
19008000.0,-120954372993.03787,-88672521964.32198,17594.65978624687,-23958.753902908447,-442787036.0482666
19440000.0,-112919148445.18916,-98684812889.54362,19582.785498058864,-22366.050399047053,-442787040.8513944
19872000.0,-104055482207.52045,-107973088632.43608,21427.689332970276,-20608.861910281823,-442787045.6529218
20304000.0,-94428216100.98138,-116469009646.16815,23115.801116051734,-18699.96541894116,-442787050.4537007
20736000.0,-84107814207.13025,-124110000776.13983,24634.678024168294,-16653.255333920966,-442787055.2545902
21168000.0,-73169855674.76959,-130839713162.28952,25973.09668832759,-14483.645748365512,-442787060.05645066
21600000.0,-61694489488.24491,-136608442240.793,27121.137082617333,-12206.965041409143,-442787064.86013734
22032000.0,-49765854888.14895,-141373498675.66098,28070.257546637185,-9839.843472242195,-442787069.66649467
22464000.0,-37471471408.00371,-145099529343.6262,28813.36033239717,-7399.594473954789,-442787074.4763506
22896000.0,-24901602742.997707,-147758785813.82214,29344.84711672472,-4904.090412100279,-442787079.2905096
23328000.0,-12148598896.394867,-149331338106.20724,29660.66397650526,-2371.633627995124,-442787084.1097484
23760000.0,693778746.9080143,-149805231878.26962,29758.33538668921,179.17636135545672,-442787088.93480945
24192000.0,13531044594.752306,-149176587576.69522,29636.986869929147,2729.5785869987276,-442787093.7663948
24624000.0,26268683300.771095,-147449640497.4482,29297.356001833585,5260.788312870139,-442787098.6051621
25056000.0,38812846416.30013,-144636721121.76254,28741.791556865883,7754.135682161413,-442787103.4517183
25488000.0,51071046086.95764,-140758175534.13583,27974.24066645678,10191.204295469195,-442787108.30661595
25920000.0,62952840603.8129,-135842226178.42035,27000.22395236122,12553.96866848311,-442787113.1703469
26352000.0,74370506623.6184,-129924773666.00658,25826.798693945148,14824.92950303369,-442787118.04334086
26784000.0,85239692919.2079,-123049140812.02948,24462.51018705623,16987.245700706728,-442787122.92595917
27216000.0,95480050611.07953,-115265760537.31827,22917.331553394764,19024.862053610945,-442787127.8184934
27648000.0,105015834965.13565,-106631809731.01817,21202.592361711282,20922.631562801387,-442787132.72116154
28080000.0,113776474019.77017,-97210791616.7966,19330.896524461954,22666.431361700063,-442787137.6341062
28512000.0,121697099527.64479,-87072069599.53342,17316.030034414398,24243.271259834237,-442787142.5573936
28944000.0,128719035962.65752,-76290355984.56125,15172.859203718574,25641.393971358357,-442787147.4910117
29376000.0,134790243649.24387,-64945159353.07231,12917.220161717349,26850.366152964034,-442787152.4348703
29808000.0,139865712417.1166,-53120194740.56964,10565.80045585016,27861.15944653246,-442787157.3888012
30240000.0,143907802567.08853,-40902761095.748566,8136.0136810206,28666.22080265502,-442787162.3525597
30672000.0,146886530349.39816,-28383090790.78312,5645.868135446777,29259.531451146995,-442787167.3258248
31104000.0,148779795601.0916,-15653676206.883331,3113.8305640890094,29636.65398291922,-442787172.308203
31536000.0,149573549659.13324,-2808578627.8664913,558.6861031871526,29794.767112890484,-442787177.29923016
31968000.0,149261902156.22665,10057275163.428236,-2000.604419661851,29732.687804701574,-442787182.2983753
32400000.0,147847165811.681,22848803077.938293,-4545.048646808271,29450.880553385636,-442787187.3050451
32832000.0,145339838844.6451,35471479131.83759,-7055.767114264931,28951.45374031736,-442787192.31858814
33264000.0,141758525156.07623,47832040494.85756,-9514.136736005083,28238.14309410135,-442787197.3382987
33696000.0,137129792943.2593,59839184633.93399,-11901.932157242356,27316.28240993782,-442787202.36342543
